空运	航空运输
和谈	和平谈判
成飞	成都飞机
央行	中央银行
男网	男子网球
中东和谈	中东和平谈判
东协	东南亚国家协会
外销	对外销售
修宪	修改宪法
驾照	驾驶执照
越战	越南战争
专才	专业人才
新航	新加坡航空公司
飞安	飞行安全
网协	网球协会
海缆	海底电缆
高干	高级干部
管委	管理委员会
时空	时间和空间
国企	国有企业
马列主义	马克思列宁主义
人口老化	人口老龄化
学运	学生运动
吉大	吉林大学
空战	空中作战
童军	童子军
巴解组织	巴勒斯坦解放组织
股值	股票价值
地价	土地价格
武大	武汉大学
宣教	宣传教育
政改	政治体制改革
童装	儿童服装
环卫	环境卫生
体协	体育协会
农科	农业科学
电联	国际电信联盟
监委	监察委员会
高知	高级知识分子
无人机	无人驾驶飞机
展馆	展览馆
财年	财政年度
运能	运输能力
运管	运输管理
亚冬会	亚洲冬季运动会
科考队	科学考察队
扩招	扩大招生
深交所	深圳证券交易所
工美	工艺美术品
知青	知识青年
军体	军事体育
美院	美术学院
联交所	香港联合交易所
男花	男子花剑
投运	投入运行
男曲	男子曲棍球
心内科	心血管内科
纠风	纠正行业不正之风
公铁	公路铁路
帮贫	帮助贫困户
血防	血吸虫病防治
成教	成人教育
游将	游泳健将
早教	早期教育
心外科	心血管外科
羽协	羽毛球协会
沈铁	沈阳铁路局
特委	特别委员会
专干	专职干部
尤杯	尤伯杯
轻卡	轻型卡车
欧航局	欧洲航天局
武协	武术协会
政研室	政策研究室
打私	打击走私活动
